num_ingredients,num_steps,desc_len,vote_count,instr_len,ingr_len,time_cue_count,cuisine,course,diet,total_time_min,is_quick
8,10,633,434,857,140,2,Mexican,Dinner,Vegetarian,30.0,1
10,10,458,3423,1102,153,5,South Indian Recipes,Lunch,Vegetarian,30.0,1
10,10,533,2091,842,186,3,Mexican,Side Dish,Vegetarian,10.0,1
8,7,374,990,610,157,2,Other,Side Dish,High Protein Vegetarian,25.0,1
14,11,743,345,1363,211,7,North Indian Recipes,Side Dish,High Protein Vegetarian,50.0,0
18,10,940,2088,1017,286,6,Indian,Lunch,Vegetarian,40.0,1
7,5,529,506,432,85,0,Mexican,Side Dish,Vegetarian,10.0,1
12,6,570,808,850,198,4,Karnataka,South Indian Breakfast,Vegetarian,40.0,1
14,14,503,699,1857,239,3,North Indian Recipes,Snack,Vegetarian,55.0,0
8,8,646,2066,1155,140,2,Continental,Dessert,Vegetarian,60.0,0
17,15,380,819,1841,274,13,North Indian Recipes,Lunch,Vegetarian,25.0,1
18,14,569,2431,1391,270,5,Continental,Dinner,Vegetarian,20.0,1
9,10,449,179,1045,107,3,Indian,Appetizer,Non Vegeterian,28.0,1
13,8,442,1967,766,195,3,Other,Dinner,Vegetarian,30.0,1
11,10,567,879,803,147,0,Other,Dessert,Vegetarian,70.0,0
11,8,711,448,875,173,7,Mexican,Appetizer,Vegetarian,10.0,1
11,8,376,1181,855,184,2,Other,Side Dish,Vegetarian,30.0,1
15,11,364,782,1071,265,3,North Indian Recipes,Lunch,Vegetarian,60.0,0
12,11,673,22372,1079,221,10,Kerala Recipes,Lunch,High Protein Vegetarian,90.0,0
12,15,842,1181,1096,200,5,North Indian Recipes,Lunch,No Onion No Garlic (Sattvic),35.0,1
11,14,444,1162,1436,163,4,Italian Recipes,Dinner,High Protein Non Vegetarian,30.0,1
16,16,370,788,1829,262,8,Other,Lunch,Vegetarian,55.0,0
13,14,524,582,1317,209,3,Italian Recipes,Main Course,Vegetarian,110.0,0
13,18,696,681,2201,246,18,Indian,Lunch,Vegetarian,55.0,0
17,13,418,4942,1172,270,7,Other,Main Course,Vegetarian,40.0,1
9,10,697,1305,1005,97,1,Other,Lunch,Diabetic Friendly,25.0,1
11,17,517,4162,1690,171,5,Other,Main Course,High Protein Vegetarian,45.0,1
7,14,1332,2284,1217,141,3,Karnataka,South Indian Breakfast,Diabetic Friendly,50.0,0
24,20,531,1413,1503,390,7,Other,Side Dish,Vegetarian,50.0,0
11,12,533,659,1070,154,6,South Indian Recipes,Side Dish,Vegetarian,20.0,1
24,17,1296,910,1887,372,11,Karnataka,Lunch,Vegetarian,75.0,0
7,16,480,809,1323,123,6,Continental,Snack,Eggetarian,145.0,0
11,13,464,272,917,197,6,Italian Recipes,Main Course,Vegetarian,70.0,0
12,14,732,877,1568,178,7,Continental,World Breakfast,Vegetarian,240.0,0
11,14,870,1536,2071,151,11,Other,Snack,Vegetarian,65.0,0
11,10,833,3865,1119,183,5,Other,Lunch,High Protein Vegetarian,580.0,0
16,11,642,715,1426,254,6,Mexican,Side Dish,Vegetarian,70.0,0
16,10,758,489,1105,180,3,Mexican,World Breakfast,Eggetarian,30.0,1
15,9,592,692,1342,254,4,Other,Appetizer,High Protein Vegetarian,40.0,1
21,13,567,932,1431,351,11,Indian,Dinner,Non Vegeterian,60.0,0
15,11,554,4187,1214,291,12,Karnataka,Lunch,Vegetarian,40.0,1
12,10,653,626,1151,221,7,Italian Recipes,Appetizer,Vegetarian,35.0,1
16,11,834,4374,1481,249,7,Other,Lunch,Vegetarian,55.0,0
14,11,515,2750,1298,258,9,South Indian Recipes,Lunch,Vegetarian,75.0,0
7,6,595,3042,574,165,2,Karnataka,Lunch,Vegetarian,30.0,1
15,9,645,9188,1054,277,7,Other,Lunch,Vegetarian,40.0,1
14,9,613,1621,773,258,2,Indian,Lunch,Vegetarian,70.0,0
10,11,690,1744,1013,191,4,North Indian Recipes,Lunch,Vegetarian,30.0,1
23,15,680,5980,1400,346,9,Other,Lunch,Eggetarian,75.0,0
11,11,600,341,816,178,1,Other,Dinner,High Protein Vegetarian,40.0,1
10,6,425,12959,620,212,4,Other,Unknown,Vegetarian,10.0,1
13,10,739,1015,1033,197,1,South Indian Recipes,Side Dish,Diabetic Friendly,15.0,1
13,10,474,3324,1072,231,5,Andhra,Lunch,Vegetarian,30.0,1
12,9,460,1245,1211,227,9,South Indian Recipes,Side Dish,Vegetarian,25.0,1
13,11,614,2283,1005,200,6,Other,Dinner,Vegetarian,50.0,0
19,15,607,6406,1296,344,9,North Indian Recipes,Lunch,Vegetarian,160.0,0
17,12,1123,4755,1503,275,7,Other,Lunch,Vegetarian,30.0,1
19,17,991,20566,2100,271,13,Continental,Dessert,Eggetarian,160.0,0
15,8,554,300,942,200,5,Fusion,Lunch,Vegetarian,55.0,0
8,7,601,1386,577,159,2,Continental,Side Dish,Vegetarian,20.0,1
12,10,511,10711,868,230,5,Andhra,Lunch,Vegetarian,35.0,1
15,10,745,843,1504,249,15,Other,Lunch,Vegetarian,40.0,1
10,13,561,11816,1301,197,4,Indian,Lunch,Vegetarian,30.0,1
18,16,1020,1660,2172,332,5,Bengali Recipes,Lunch,Vegetarian,60.0,0
4,10,357,287,732,46,2,Other,Appetizer,Vegetarian,30.0,1
16,13,605,298,1514,280,8,Other,Dinner,High Protein Vegetarian,55.0,0
5,9,453,2174,945,55,4,Other,Snack,Vegetarian,30.0,1
9,9,748,2223,980,155,3,Tamil Nadu,Side Dish,Vegan,60.0,0
15,14,621,39,2183,277,11,Bengali Recipes,Lunch,High Protein Vegetarian,60.0,0
19,29,654,55862,2549,324,8,Other,Lunch,Non Vegeterian,120.0,0
16,17,935,2556,2267,237,8,North Indian Recipes,Snack,Vegetarian,90.0,0
10,13,498,2953,1005,147,8,Other,Lunch,High Protein Vegetarian,30.0,1
7,6,452,335,716,93,3,Continental,World Breakfast,Vegetarian,30.0,1
10,8,760,713,586,148,3,Other,Lunch,Vegetarian,50.0,0
21,19,389,3992,1978,391,13,Gujarati Recipes﻿,Snack,Vegetarian,40.0,1
26,15,609,2344,1467,440,2,North Indian Recipes,Lunch,Vegetarian,45.0,1
